country,continent,capital,language
Panama,America,Panama City,Spanish
Peru,America,Lima,Spanish
French Polynesia,Oceania,Papeetē,French
Papua New Guinea,Oceania,Port Moresby,English
Philippines,Asia,Manila,English
Pakistan,Asia,Islamabad,English
Poland,Europe,Warsaw,Polish
Saint Pierre and Miquelon,America,Saint-Pierre,French
Pitcairn Islands,Oceania,Adamstown,English
Puerto Rico,America,San Juan,Spanish
Palestine,Asia,Ramallah,Arabic
Portugal,Europe,Lisbon,Portuguese
Palau,Oceania,Ngerulmud,English
Paraguay,America,Asunción,Spanish
Qatar,Asia,Doha,Arabic
Réunion,Africa,Saint-Denis,French
Romania,Europe,Bucharest,Romanian
Serbia,Europe,Belgrade,Serbian
Russia,Europe,Moscow,Russian
Rwanda,Africa,Kigali,Rwandi
Saudi Arabia,Asia,Riyadh,Arabic
Solomon Islands,Oceania,Honiara,English
Seychelles,Africa,Victoria,French
Sudan,Africa,Khartoum,Arabic
Sweden,Europe,Stockholm,Swedish
Singapore,Asia,Singapore,English
Saint Helena,Africa,Jamestown,English
Slovenia,Europe,Ljubljana,Slovenian
Svalbard and Jan Mayen,Europe,Longyearbyen,Norwegian
Slovakia,Europe,Bratislava,Slovak
Sierra Leone,Africa,Freetown,English
San Marino,Europe,City of San Marino,Italian
Senegal,Africa,Dakar,French
Somalia,Africa,Mogadishu,Somalia
Suriname,America,Paramaribo,Dutch
South Sudan,Africa,Juba,English
São Tomé and Príncipe,Africa,São Tomé,Portuguese
El Salvador,America,San Salvador,Spanish
Sint Maarten,America,Philipsburg,Dutch
Syria,Asia,Damascus,Arabic
Swaziland,Africa,Lobamba,English
Turks and Caicos Islands,America,Cockburn Town,English
Chad,Africa,N'Djamena,French
Togo,Africa,Lomé,French
Thailand,Asia,Bangkok,Thai
Tajikistan,Asia,Dushanbe,Tajik
Tokelau,Oceania,Fakaofo,English
East Timor,Oceania,Dili,Portuguese
Turkmenistan,Asia,Ashgabat,Turkmen
Tunisia,Africa,Tunis,Arabic
Tonga,Oceania,Nuku'alofa,English
Turkey,Asia,Ankara,Turkish
Trinidad and Tobago,America,Port of Spain,English
Tuvalu,Oceania,Funafuti,English
Taiwan,Asia,Taipei,Chinese
Tanzania,Africa,Dodoma,Swahili
Ukraine,Europe,Kyiv,Ukrainian
Uganda,Africa,Kampala,English
U.S. Minor Outlying Islands,Oceania,,English
United States,America,Washington D.C.,English
Uruguay,America,Montevideo,Spanish
Uzbekistan,Asia,Tashkent,Uzbek
Vatican City,Europe,Vatican City,Italian
Saint Vincent and the Grenadines,America,Kingstown,English
Venezuela,America,Caracas,Spanish
British Virgin Islands,America,Road Town,English
Vietnam,Asia,Hanoi,Vietnamese
Vanuatu,Oceania,Port Vila,Bislama
Wallis and Futuna,Oceania,Mata-Utu,French
Samoa,Oceania,Apia,Samoan
Kosovo,Europe,Pristina,Albanian
Yemen,Asia,Sana'a,Arabic
Mayotte,Africa,Mamoudzou,French
South Africa,Africa,Pretoria,Afrikaans
Zambia,Africa,Lusaka,English
Zimbabwe,Africa,Harare,English
